listing_id,url,compound_name,compound_valid,developer_name,developer_valid,finishing_level,finishing_valid,delivery_status,delivery_valid,delivery_date,delivery_date_valid,sale_type,sale_valid,payment_type,payment_valid,down_payment_amount,down_payment_valid,installment_years,installment_valid,amenities,amenities_valid,floor_number,floor_valid,garden_area_sqm,garden_valid,roof_area_sqm,roof_valid,is_negotiable,negotiable_valid
208752703,https://www.bayut.eg/en/property/details-208752703.html,Sun Capital,Y,,Y,semi-finished,Y,ready,Y,,,,,,,,,,,Y,جراج خاص للوحدة; غرفة تخزين; اشتراك نادى,Y,,,,,Y,,Y
208793587,https://www.bayut.eg/en/property/details-208793587.html,كومبند اوكرديا,N,,Y,semi-finished,Y,,,,,,,installments,Y,500000,Y,,,,,5,Y,,,,,,
502076262,https://www.bayut.eg/en/property/details-502076262.html,Orouba Skyline,Y,,Y,super lux,Y,ready,Y,,,,,cash,Y,,,,,Furnished; Covered parking; Electricity Backup; Electricity Meter; Centrally Air-Conditioned; Central Heating; Water Meter; Double Glazed Windows; Storage Areas; Natural Gas; Central A/C & heating; Balcony or Terrace; Lobby in Building; Service Elevators; Prayer Room; Reception/Waiting Room; First Aid Medical Center; Gym or Health Club; Swimming Pool; Jacuzzi; Sauna; Steam Room; Day Care Center; Kids Play Area; Lawn or Garden; Cafeteria or Canteen; Waste Disposal; Maintenance Staff; Cleaning Services; Business Center; Conference Room; Security Staff; CCTV Security; Laundry Room; Laundry Facility; Broadband Internet; Satellite/Cable TV; Intercom; 24 Hours Concierge; Freehold,Y,,,,,,,,
502115721,https://www.bayut.eg/en/property/details-502115721.html,Talala Compound,Y,,Y,fully finished,Y,,,,,,,installments,Y,1000000,Y,10,Y,,,,,,,,,,
502700882,https://www.bayut.eg/en/property/details-502700882.html,Mivida - New Cairo,Y,,Y,fully finished,Y,ready,Y,,,,,,,,,,,Maid's Room,Y,,,,,,,,
502797292,https://www.bayut.eg/en/property/details-502797292.html,,N,,Y,fully finished,Y,off-plan,Y,2027,Y,,,,,9058254,Y,,N,,,8,Y,,,,,,
503010997,https://www.bayut.eg/en/property/details-503010997.html,Beit Al Watan,Y,,Y,semi-finished,Y,off-plan,Y,,,Y,,,installments,Y,,,3,Y,Covered parking; Storage Areas; Natural Gas; Landline; Balcony or Terrace; Lobby in Building; Prayer Room; Lawn or Garden; Barbeque Area; Business Center; Laundry Room; Broadband Internet; Satellite/Cable TV; Freehold,Y,,0,Y,,90,Y,
503078512,https://www.bayut.eg/en/property/details-503078512.html,Talala Compound,Y,,Y,super lux,Y,,,Y,,,,both,Y,,,15,Y,,,,,,,,,,
503083577,https://www.bayut.eg/en/property/details-503083577.html,Sarai Compound,Y,,Y,unknown,Y,,,,,,,both,Y,,,1,Y,Artificial lakes; Green spaces; Recreational areas for children; 24-hour security and guarding team; Dedicated garages for cars; International health club; Equipped gyms; Swimming pools; Jacuzzi; Spa; Language schools; International cultural club; Commercial mall; Horse arena; Built in Kitchen Appliances; Covered parking; Pets Allowed; Electricity Meter; Water Meter; Natural Gas; Landline; Day Care Center; Kids Play Area; Lawn or Garden; Barbeque Area; Cafeteria or Canteen; Business Center; Conference Room; Security Staff,Y,,,,,,,,
503152839,https://www.bayut.eg/en/property/details-503152839.html,Woodville Compound,Y,Palm Hills,Y,unknown,Y,ready,Y,,,resale,Y,,,,,,,24/7 security and guarding; CCTV surveillance; Electronic gates; Landscaped green areas; Water features; Clubhouse; Retail mall and administrative services; Kids' play areas; Designated BBQ and outdoor seating areas,Y,,,180,Y,,,,
503203315,https://www.bayut.eg/en/property/details-503203315.html,El hezam Al akhdar,Y,,Y,unknown,Y,,,Y,,,Y,primary,Y,installments,Y,,,Y,,8,Y,Pets Allowed; Swimming Pool; Kids Play Area; Lawn or Garden; Club House; Commercial Strip Mall; Smart Gate; mosque; CCTV System; bicycle Track; BBQ Area; Jogging Tracks; Greenery area & Water Features,Y,,,,
503274395,https://www.bayut.eg/en/property/details-503274395.html,La Vista City,Y,La Vista Developments,Y,unknown,Y,ready,Y,,,,,installments,Y,,,8,Y,Built in Kitchen Appliances; Covered parking; Pets Allowed; 24/7 security; Private Garden,Y,,,101,Y,,,,
503348037,https://www.bayut.eg/en/property/details-503348037.html,Creek Town Compound,Y,Property Hills One 1,Y,unknown,Y,ready,Y,,,,,installments,Y,,,10,Y,Built in Kitchen Appliances; Furnished; Covered parking; Electricity Backup; Pets Allowed; Electricity Meter; Centrally Air-Conditioned; Sea view; Central Heating; Water Meter; Double Glazed Windows; Storage Areas; Natural Gas; Landline; Study Room; Central A/C & heating; Balcony or Terrace; Lobby in Building; Service Elevators; Prayer Room; Reception/Waiting Room; First Aid Medical Center; Gym or Health Club; Facilities for Disabled; Swimming Pool; Jacuzzi; Sauna; Steam Room; Day Care Center; Kids Play Area; Lawn or Garden; Barbeque Area; Cafeteria or Canteen; Waste Disposal; Maintenance Staff; Cleaning Services; Business Center; Conference Room; Security Staff; CCTV Security; Shared Kitchen; Laundry Room; Laundry Facility; Broadband Internet; Satellite/Cable TV; Intercom; ATM Facility; Maids Room; Freehold,Y,,,,,,,,
503411087,https://www.bayut.eg/en/property/details-503411087.html,The One,Y,,Y,unknown,Y,,,Y,,,,,,,Y,,Y,,Built in Kitchen Appliances; Covered parking; Pets Allowed; Electricity Meter; Sea view; Water Meter; Natural Gas; Landline; Balcony or Terrace; First Aid Medical Center; Gym or Health Club; Facilities for Disabled; Swimming Pool; Jacuzzi; Sauna; Steam Room; Day Care Center; Kids Play Area; Lawn or Garden; Barbeque Area; Cafeteria or Canteen; Business Center; Conference Room; Security Staff; CCTV Security; Laundry Room,Y,,,,,,,
503437653,https://www.bayut.eg/en/property/details-503437653.html,Mountain View Hyde Park Compound,Y,,Y,core & shell,Y,,Y,2029,Y,,Y,installments,Y,14550000,Y,,N,Covered parking; Pets Allowed; Electricity Meter; Water Meter; Natural Gas; Landline; Balcony or Terrace; Gym or Health Club; Lawn or Garden; Waste Disposal; Maintenance Staff; Cleaning Services; Security Staff; CCTV Security; Broadband Internet; Satellite/Cable TV,Y,,Y,,Y,,Y,,Y
503461946,https://www.bayut.eg/en/property/details-503461946.html,,N,Talaat Moustafa Group,Y,unknown,Y,ready,Y,,Y,primary,Y,cash,Y,,Y,,Y,Built in Kitchen Appliances; Furnished; Covered parking; Electricity Backup; Parking Spaces; Electricity Meter; Centrally Air-Conditioned; Water Meter; Double Glazed Windows; Storage Areas; Natural Gas; Landline; Balcony or Terrace; Lobby in Building; Completion Year; Flooring; Total Floors; First Aid Medical Center; Gym or Health Club; Swimming Pool; Jacuzzi; Sauna; Steam Room; Day Care Center; Kids Play Area; Lawn or Garden; Barbeque Area; Cafeteria or Canteen; Waste Disposal; Maintenance Staff; Cleaning Services; Business Center; Conference Room; Security Staff; CCTV Security; Shared Kitchen; Laundry Room; Laundry Facility; Broadband Internet; Satellite/Cable TV; Intercom; 24 Hours Concierge; Maids Room; View; Freehold,Y,,Y,,Y,,Y,,Y
503496608,https://www.bayut.eg/en/property/details-503496608.html,,Y,,Y,super lux,Y,off-plan,Y,,Y,,Y,installments,Y,3484500,Y,4,Y,Hospital; School; Sports Club; Clubhouse; Shopping Malls; Landscaping; Security Staff; CCTV Security,Y,,Y,,Y,,Y,,Y
503506452,https://www.bayut.eg/en/property/details-503506452.html,Al-Furat Compound,Y,,Y,super lux,,off-plan,Y,,Y,,Y,both,Y,,,3,,Private garden; Roof terrace; Private parking,,,,195,,30,,,
503508122,https://www.bayut.eg/en/property/details-503508122.html,Orouba Skyline,,,,super lux,,,,,,,,cash,,,,,,private swimming pool; Smart System; Ultra-luxurious finishing; Open views overlooking the plaza; Expansive green spaces; recreational areas; dedicated cycling paths; children's play area; walking and jogging tracks; 24/7 security; pharmacies; restaurants and cafes; clubhouse; Security Staff; CCTV Security,,,,,,,,,
503615697,https://www.bayut.eg/en/property/details-503615697.html,Sodic East,Y,,Y,fully finished,Y,ready,Y,,,Y,,,installments,Y,,,10,Y,Balcony or Terrace; Security Staff,Y,,,,,,,
503618668,https://www.bayut.eg/en/property/details-503618668.html,Al Mandara,Y,,Y,fully finished,,,,,,,,,,,,,,Covered parking,,,,,,,,,
503679208,https://www.bayut.eg/en/property/details-503679208.html,Palm Hills,Y,,Y,unknown,Y,off-plan,Y,,Y,,Y,installments,Y,13500000,Y,3,Y,International school; Arkan Mall; Clubhouse; Green Spine,Y,,,,,55,,,
503691856,https://www.bayut.eg/en/property/details-503691856.html,Sarai Compound,Y,Sadan Investment,Y,unknown,Y,,N,,Y,,Y,both,Y,,Y,12,Y,Lawn or Garden,,,Y,64,Y,,Y,,Y
503748470,https://www.bayut.eg/en/property/details-503748470.html,,Y,,Y,unknown,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,2,Y,,,,,,
503762693,https://www.bayut.eg/en/property/details-503762693.html,Fiory Compound,Y,,Y,semi-finished,Y,off-plan,Y,,2028,Y,primary,Y,installments,Y,,,10,Y,Gym or Health Club; Swimming Pool; Sauna; Barbeque Area,Y,,2,Y,,,,
